race,party,candidate,votes,proportion
Kansas House of Representatives 096,R,Rick Lindsey,483,0.507
Kansas House of Representatives 097,D,Dale Swenson,309,1
Kansas House of Representatives 097,R,Jeff Blubaugh,747,0.491
Kansas House of Representatives 097,R,Leslie Osterman,774,0.508
Kansas House of Representatives 098,D,Geraldine Flaharty,316,1
Kansas House of Representatives 098,R,Phil Hermanson,873,1
Kansas House of Representatives 099,R,Dennis Hedke,1988,1
Kansas House of Representatives 100,D,John Wallace Willoughby,322,1
Kansas House of Representatives 100,R,Dan Hawkins,1642,0.542
Kansas House of Representatives 100,R,Bridget Schneider,1387,0.457
Kansas House of Representatives 101,R,Jamey Blubaugh,1071,0.36
Kansas House of Representatives 101,R,Mark E. Holick,323,0.108
Kansas House of Representatives 101,R,Joe Seiwert,1579,0.531
Kansas House of Representatives 102,D,Erich Hugh Bishop,420,0.495
Kansas House of Representatives 102,D,Jan Pauls,428,0.504
Kansas House of Representatives 102,R,Dakota Bass,587,1
Kansas House of Representatives 103,D,Angela Martinez,114,0.324
Kansas House of Representatives 103,D,Ponka-We Victors,237,0.675
Kansas House of Representatives 104,R,Steven R. Becker,1464,0.509
Kansas House of Representatives 104,R,Ken R. Willard,1407,0.49
Kansas House of Representatives 105,D,Liz Hicks,412,1
Kansas House of Representatives 105,R,Mark E. Hutton,1414,1
Kansas House of Representatives 106,D,Nick Levendofsky,744,1
Kansas House of Representatives 106,R,Clay Aurand,2368,0.49
Kansas House of Representatives 106,R,Sharon Schwartz,2456,0.509
Kansas House of Representatives 107,R,Susan L. Concannon,3077,1
Kansas House of Representatives 108,R,Steven Johnson,2731,1
Kansas House of Representatives 109,R,Trey Joy,2391,0.458
Kansas House of Representatives 109,R,Troy L. Waymaster,2823,0.541
Kansas House of Representatives 110,D,Philip H. Martin,400,1
Kansas House of Representatives 110,R,Travis Couture-Lovelady,3957,1
Kansas House of Representatives 111,D,Eber E. Phelps,646,1
Kansas House of Representatives 111,R,Sue E. Boldra,1118,1
Kansas House of Representatives 112,D,Steve Muehleisen,396,1
Kansas House of Representatives 112,R,John Edmonds,3080,1
Kansas House of Representatives 113,R,Marshall Christmann,3282,1
Kansas House of Representatives 114,D,Carol Moore,478,1
Kansas House of Representatives 114,R,Bob Booth,667,0.236
Kansas House of Representatives 114,R,Tom Simpson,964,0.341
Kansas House of Representatives 114,R,Jack Thimesch,1188,0.421
Kansas House of Representatives 115,D,"Marjorie ""Mo"" Gilbert",198,1
Kansas House of Representatives 115,R,Ronald Ryckman,1641,1
Kansas House of Representatives 116,D,Vincent Wetta,612,1
Kansas House of Representatives 116,R,Kyle D. Hoffman,2559,0.674
Kansas House of Representatives 116,R,Terry Nunemaker,1234,0.325
Kansas House of Representatives 117,D,Dennis McKinney,546,1
Kansas House of Representatives 117,R,John L. Ewy,2386,0.537
Kansas House of Representatives 117,R,Mitchell Rucker,1369,0.308
Kansas House of Representatives 117,R,John W. Unruh,681,0.153
Kansas House of Representatives 118,R,Don Hineman,4468,1
Kansas House of Representatives 119,D,"Lawrence ""Larry"" Blake",248,1
Kansas House of Representatives 119,R,Brian A. Weber,1194,1
Kansas House of Representatives 120,R,Richard (Rick) Billinger,2430,0.463
Kansas House of Representatives 120,R,Ward M. Cassidy,2811,0.536
Kansas House of Representatives 121,D,Tyler G Dixon,242,1
Kansas House of Representatives 121,R,Arlen H. Siegfreid,1248,1
Kansas House of Representatives 122,R,Randy L. Hayzlett,1530,0.479
Kansas House of Representatives 122,R,"J. Russell ""Russ"" Jennings",1660,0.52
Kansas House of Representatives 123,R,John Doll,1457,0.703
Kansas House of Representatives 123,R,Reynaldo R. Mesa,615,0.296
Kansas House of Representatives 124,R,J. Stephen Alford,3369,1
Kansas House of Representatives 125,R,Carl D. Holmes,895,0.497
Kansas House of Representatives 125,R,Reid Petty,904,0.502
Kansas Senate 001,D,Steve Lukert,2194,1
Kansas Senate 001,R,Marje A. Cochren,3407,0.336
Kansas Senate 001,R,Dennis D. Pyle,6730,0.663
Kansas Senate 002,D,Marci Francisco,3466,1
Kansas Senate 002,R,Ronald B. Ellis,2588,0.634
Kansas Senate 002,R,Jeremy Ryan Pierce,1493,0.365
Kansas Senate 003,D,Tom Holland,2112,1
Kansas Senate 003,R,Anthony R. Brown,3136,0.683
Kansas Senate 003,R,"James C. ""J.C."" Tellefson",1449,0.316
Kansas Senate 004,D,David Haley,2820,1
Kansas Senate 004,R,Joe Ward,607,1
Kansas Senate 005,D,Kelly Kultala,1713,1
Kansas Senate 005,R,Steve Fitzgerald,2298,0.614
Kansas Senate 005,R,Mark S. Gilstrap,1441,0.385
Kansas Senate 006,D,(Vincent) Mario Escobar,695,0.273
Kansas Senate 006,D,Pat Pettey,1842,0.726
Kansas Senate 006,R,Chris Steineger,984,1
Kansas Senate 007,D,Kyle Russell,1981,1
Kansas Senate 007,R,David Harvey,3889,0.429
Kansas Senate 007,R,Kay Wolf,5176,0.57
Kansas Senate 008,D,Lisa Johnston,1153,1
Kansas Senate 008,R,Jim Denning,4796,0.602
Kansas Senate 008,R,Thomas C. (Tim) Owens,3161,0.397
Kansas Senate 009,D,Merlin D. Ring,857,1
