race,party,candidate,votes,proportion
Kansas House of Representatives 017,R,Tom  Cox,1927,0.615
Kansas House of Representatives 017,R,Brett M. Hildabrand,1202,0.384
Kansas House of Representatives 018,D,Cindy  Neighbor,1081,1
Kansas House of Representatives 018,R,Eric A. Jenkins,1821,1
Kansas House of Representatives 019,D,Elizabeth A Meitl,1139,1
Kansas House of Representatives 019,R,Stephanie  Clayton,2633,1
Kansas House of Representatives 020,D,Christopher  McQueeny,989,1
Kansas House of Representatives 020,R,Rob  Bruchman,1883,0.452
Kansas House of Representatives 020,R,Jan H. Kessinger,2277,0.547
Kansas House of Representatives 021,D,Jerry  Stogsdill,1438,1
Kansas House of Representatives 021,R,Dorothy  Hughes,1660,0.607
Kansas House of Representatives 021,R,Neil Patrick Melton,1071,0.392
Kansas House of Representatives 022,D,Nancy  Lusk,1069,1
Kansas House of Representatives 023,D,Amber  Versola,863,1
Kansas House of Representatives 023,R,Linda  Gallagher,1449,1
Kansas House of Representatives 024,D,Jarrod  Ousley,1149,1
Kansas House of Representatives 024,R,Rob  Johnson,1038,1
Kansas House of Representatives 025,D,Matt  McCann,1484,1
Kansas House of Representatives 025,R,Melissa  Rooker,2049,1
Kansas House of Representatives 026,D,Cheron  Tiffany,558,1
Kansas House of Representatives 026,R,Larry L. Campbell,1574,1
Kansas House of Representatives 027,D,Larry A. Miller,552,1
Kansas House of Representatives 027,R,Timothy James Harmon,1336,0.464
Kansas House of Representatives 027,R,Sean E. Tarwater Sr.,1539,0.535
Kansas House of Representatives 028,R,Joy  Koesten,1591,0.542
Kansas House of Representatives 028,R,Jerry  Lunn,1344,0.457
Kansas House of Representatives 029,D,Brett  Parker,988,1
Kansas House of Representatives 029,R,James Eric Todd,1744,1
Kansas House of Representatives 030,D,Darla  Graham,876,1
Kansas House of Representatives 030,R,James A Dingwerth,812,0.402
Kansas House of Representatives 030,R,Randy  Powell,1207,0.597
Kansas House of Representatives 031,D,Louis E. Ruiz,1105,1
Kansas House of Representatives 032,D,Pam  Curtis,613,1
Kansas House of Representatives 033,D,Tom  Burroughs,1450,1
Kansas House of Representatives 034,D,Valdenia C. Winn,1665,1
Kansas House of Representatives 035,D,Broderick  Henderson,1259,0.615
Kansas House of Representatives 035,D,Kimberly L. Lampkin,787,0.384
Kansas House of Representatives 036,D,Kathy Wolfe Moore,2537,0.764
Kansas House of Representatives 036,D,Gwendolyn S. Thomas,781,0.235
Kansas House of Representatives 036,R,Kevin  Braun,899,1
Kansas House of Representatives 037,D,Stan  Frownfelter,949,1
Kansas House of Representatives 038,D,Mike  Fonkert,748,1
Kansas House of Representatives 038,R,Willie  Dove,1431,0.513
Kansas House of Representatives 038,R,Nathan  Lucas,293,0.105
Kansas House of Representatives 038,R,Mitra  Templin,1065,0.381
Kansas House of Representatives 039,D,Angeliina  Lawson,734,1
Kansas House of Representatives 039,R,Shelee  Brim,963,0.431
Kansas House of Representatives 039,R,Owen  Donohoe,503,0.225
Kansas House of Representatives 039,R,Charles  Macheers,765,0.342
Kansas House of Representatives 040,D,Debbie  Deere,617,1
Kansas House of Representatives 040,R,John  Bradford,776,1
Kansas House of Representatives 041,D,Jeff  Pittman,502,1
Kansas House of Representatives 041,R,Tony  Barton,614,1
Kansas House of Representatives 042,D,Kara  Reed,592,1
Kansas House of Representatives 042,R,Jim  Karleskint,856,0.518
Kansas House of Representatives 042,R,Connie  O'Brien,796,0.481
Kansas House of Representatives 043,R,Donald  Roberts,759,0.423
Kansas House of Representatives 043,R,Bill  Sutton,1032,0.576
Kansas House of Representatives 044,D,Barbara W. Ballard,1436,0.826
Kansas House of Representatives 044,D,Steven X Davis,301,0.173
Kansas House of Representatives 044,R,Michael  Lindsey,838,1
Kansas House of Representatives 045,D,Terry  Manies,1265,1
Kansas House of Representatives 045,R,Jeremy Ryan Pierce,547,0.297
Kansas House of Representatives 045,R,Tom  Sloan,1291,0.702
Kansas House of Representatives 046,D,"Dennis ""Boog""  Highberger",1599,1
Kansas House of Representatives 047,D,Michael D. Caddell,689,1
Kansas House of Representatives 047,R,Ronald B. Ellis,2190,1
Kansas House of Representatives 048,D,Sandy  Ackerson,609,1
Kansas House of Representatives 048,R,Marvin  Kleeb,1658,1
Kansas House of Representatives 049,D,Darnell  Hunt,492,1
Kansas House of Representatives 049,R,Scott  Schwab,1179,1
Kansas House of Representatives 050,D,Chris  Huntsman,705,0.57
Kansas House of Representatives 050,D,Russ  Hutchison,530,0.429
Kansas House of Representatives 050,R,Fred C. Patton,2460,1
Kansas House of Representatives 051,D,Adrienne  Olejnik,638,1
Kansas House of Representatives 051,R,Ron  Highland,3406,1
Kansas House of Representatives 052,R,Brenda S. Dietrich,2749,0.621
Kansas House of Representatives 052,R,Mark  Leenerts,1672,0.378
Kansas House of Representatives 053,D,Jim  Gartner,1224,1
Kansas House of Representatives 053,R,Richard  Kress,2074,1
Kansas House of Representatives 054,D,Renae  Hansen,911,1
Kansas House of Representatives 054,R,Ken  Corbet,2300,1
Kansas House of Representatives 055,D,Annie  Kuether,1314,1
Kansas House of Representatives 056,D,Virgil  Weigel,1101,1
Kansas House of Representatives 056,R,Larry  Geil,818,0.317
Kansas House of Representatives 056,R,Lane  Hemsley,1757,0.682
Kansas House of Representatives 057,D,John  Alcala,940,1
Kansas House of Representatives 058,D,Brett Daniel Kell,79,0.051
Kansas House of Representatives 058,D,Vic  Miller,1119,0.731
Kansas House of Representatives 058,D,Ben  Scott,332,0.216
Kansas House of Representatives 059,R,Blaine  Finch,1532,1
Kansas House of Representatives 060,D,William L. Ballard,614,1
Kansas House of Representatives 060,R,Steve  Pearson,802,0.385
Kansas House of Representatives 060,R,Mark  Schreiber,1102,0.53
Kansas House of Representatives 060,R,Matthew  Shepherd,174,0.083
Kansas House of Representatives 061,D,Lauren  Van Wagoner,549,1
Kansas House of Representatives 061,R,Francis  Awerkamp,2413,0.601
Kansas House of Representatives 061,R,Dan  Brenner,1598,0.398
Kansas House of Representatives 062,R,Randy  Garber,2526,1
Kansas House of Representatives 063,D,W. Brett Neibling,727,1
Kansas House of Representatives 063,R,John R. Eplee,2564,1
Kansas House of Representatives 064,R,Kathy  Martin,1136,0.422
Kansas House of Representatives 064,R,Susie  Swanson,1554,0.577
Kansas House of Representatives 065,R,Lonnie G. Clark,808,1
Kansas House of Representatives 066,D,Sydney  Carlin,533,1
Kansas House of Representatives 066,R,Stanley  Hoerman,842,1
Kansas House of Representatives 067,R,Tom  Phillips,2599,1
Kansas House of Representatives 068,D,Laura  Blevins,498,1
Kansas House of Representatives 068,R,Nicholas  Allbritton,785,0.271
Kansas House of Representatives 068,R,Dave  Baker,1814,0.626
Kansas House of Representatives 068,R,Vance E Donahue II,297,0.102
Kansas House of Representatives 069,D,Gerrett  Morris,420,1
Kansas House of Representatives 069,R,J.R.  Claeys,1653,1
Kansas House of Representatives 070,D,Jo  Schwartz,363,1
Kansas House of Representatives 070,R,John E. Barker,3081,1
Kansas House of Representatives 071,D,Jeffrey A Zamrzla,499,1
Kansas House of Representatives 071,R,Diana  Dierks,3090,1
Kansas House of Representatives 072,D,Tim  Hodge,787,1
Kansas House of Representatives 072,R,Marc  Rhoades,2566,1
Kansas House of Representatives 073,D,Terrance J. Krier,475,1
Kansas House of Representatives 073,R,Les  Mason,3680,1
Kansas House of Representatives 074,R,Don  Schroeder,3217,1
Kansas House of Representatives 075,R,Will  Carpenter,1713,0.494
Kansas House of Representatives 075,R,Mary Martha Good,1754,0.505
Kansas House of Representatives 076,D,Kelly  Atherton,397,0.499
Kansas House of Representatives 076,D,Teresa  Briggs,398,0.5
Kansas House of Representatives 076,R,Eric L. Smith,2741,1
Kansas House of Representatives 077,R,Kristey S. Williams,2459,1
Kansas House of Representatives 078,D,Jason K. Darby,621,1
Kansas House of Representatives 078,R,Allen  Clayton,500,0.272
Kansas House of Representatives 078,R,Ron  Ryckman,1334,0.727
Kansas House of Representatives 079,D,Ed  Trimmer,649,1
Kansas House of Representatives 080,D,Michelle  Schiltz,624,1
Kansas House of Representatives 080,R,Anita  Judd-Jenkins,1300,0.527
Kansas House of Representatives 080,R,Kasha  Kelley,1164,0.472
Kansas House of Representatives 081,D,James W McCluer,255,1
Kansas House of Representatives 081,R,Blake  Carpenter,940,1
Kansas House of Representatives 082,D,Danette  Harris,399,1
Kansas House of Representatives 082,R,Pete  DeGraaf,1339,1
Kansas House of Representatives 083,D,Henry  Helgerson,608,1
Kansas House of Representatives 083,R,M. Lewis Ackerman,649,1
Kansas House of Representatives 084,D,Gail  Finney,753,1
Kansas House of Representatives 085,D,Patty  Beamer,541,1
Kansas House of Representatives 085,R,Chuck  Weber,1893,1
Kansas House of Representatives 086,D,Jim  Ward,482,1
Kansas House of Representatives 086,R,Christopher  Drake,538,1
Kansas House of Representatives 087,D,Tonya  Howard,673,1
Kansas House of Representatives 087,R,Jeremy  Alessi,996,0.425
Kansas House of Representatives 087,R,Roger A. Elliott,1345,0.574
Kansas House of Representatives 088,D,Elizabeth  Bishop,445,1
Kansas House of Representatives 088,R,Joseph  Scapa,707,1
Kansas House of Representatives 089,D,KC  Ohaebosim,698,1
Kansas House of Representatives 090,D,Lou  Cicirello,378,1
Kansas House of Representatives 090,R,Steve  Huebert,1839,1
Kansas House of Representatives 091,R,Greg  Lakin,1326,0.637
Kansas House of Representatives 091,R,J.C.  Moore,755,0.362
Kansas House of Representatives 092,D,John  Carmichael,823,1
Kansas House of Representatives 093,D,Deb  Shepard,427,1
Kansas House of Representatives 093,R,John  Whitmer,1327,1
Kansas House of Representatives 094,D,Susan K. Osborne,515,1
Kansas House of Representatives 094,R,Scott  Anderson,1137,0.471
Kansas House of Representatives 094,R,Leo  Delperdang,1277,0.528
Kansas House of Representatives 095,D,Tom  Sawyer,464,1
Kansas House of Representatives 095,R,Michael  Capps,611,1
Kansas House of Representatives 096,D,Brandon  Whipple,434,1
Kansas House of Representatives 097,D,Stan  Reeser,355,1
Kansas House of Representatives 097,R,Nick  Hoheisel,459,0.386
Kansas House of Representatives 097,R,Leslie G. Osterman,729,0.613
Kansas House of Representatives 098,D,Steven G. Crum,269,0.525
Kansas House of Representatives 098,D,Justin  Kraemer,243,0.474
Kansas House of Representatives 098,R,Steve  Anthimides,661,1
Kansas House of Representatives 099,R,Randy J. Banwart,1218,0.399
Kansas House of Representatives 099,R,Susan  Humphries,1834,0.6
Kansas House of Representatives 100,D,Glen  Shafer,529,1
Kansas House of Representatives 100,R,James  Breitenbach,719,0.287
Kansas House of Representatives 100,R,Daniel  Hawkins,1782,0.712
Kansas House of Representatives 101,D,Clifton  Beck,467,1
Kansas House of Representatives 101,R,Joe  Seiwert,2630,1
Kansas House of Representatives 102,D,Patsy  Terrell,525,1
Kansas House of Representatives 102,R,Jan  Pauls,1313,1
Kansas House of Representatives 103,D,Ponka-We  Victors,339,1
Kansas House of Representatives 104,D,Betty  Taylor,781,1
Kansas House of Representatives 104,R,Steven R. Becker,2957,0.597
Kansas House of Representatives 104,R,Lowell J. Peachey,1988,0.402
Kansas House of Representatives 105,D,Cammie  Funston,517,1
Kansas House of Representatives 105,R,Brenda  Landwehr,1295,1
Kansas House of Representatives 106,D,Todd E. Frye,508,0.687
Kansas House of Representatives 106,D,Beth  Owens,231,0.312
Kansas House of Representatives 106,R,Clay  Aurand,3667,1
Kansas House of Representatives 107,R,Susan L. Concannon,3758,1
Kansas House of Representatives 108,D,Kelley  Menke,664,1
Kansas House of Representatives 108,R,Steven  Johnson,3347,1
Kansas House of Representatives 109,R,Troy L. Waymaster,4530,1
Kansas House of Representatives 110,R,Ken  Rahjes,4272,1
Kansas House of Representatives 111,D,Eber  Phelps,766,1
Kansas House of Representatives 111,R,Sue Ellen Boldra,2106,1
Kansas House of Representatives 112,R,Tory M. Arnberger,2970,1
Kansas House of Representatives 113,R,Greg  Lewis,3510,0.742
Kansas House of Representatives 113,R,Jon L. Prescott,1215,0.257
Kansas House of Representatives 114,R,Herchel A Crainer III,1716,0.424
Kansas House of Representatives 114,R,Jack  Thimesch,2323,0.575
Kansas House of Representatives 115,R,Andrew  Evans,1357,0.426
Kansas House of Representatives 115,R,Boyd  Orr,1827,0.573
Kansas House of Representatives 116,D,Jolene E. Roitman,536,1
Kansas House of Representatives 116,R,Kyle D. Hoffman,2763,1
Kansas House of Representatives 117,R,Leonard A. Mastroni,4001,1
Kansas House of Representatives 118,R,Don  Hineman,4884,1
Kansas House of Representatives 119,D,Daniel L. Love,304,1
Kansas House of Representatives 119,R,Bradley  Ralph,1477,1
Kansas House of Representatives 120,D,Bonita L. Peterson,473,1
Kansas House of Representatives 120,R,John M. Faber,2910,0.47
Kansas House of Representatives 120,R,Adam  Smith,3281,0.529
Kansas House of Representatives 121,D,Jason  Graff,720,1
Kansas House of Representatives 121,R,S. Mike Kiegerl,1762,1
Kansas House of Representatives 122,R,"J. Russell ""Russ"" Jennings",2905,1
Kansas House of Representatives 123,R,Joel Thomas Erskin,349,0.16
Kansas House of Representatives 123,R,John P. Wheeler Jr.,1826,0.839
Kansas House of Representatives 124,R,J. Stephen Alford,3256,1
Kansas House of Representatives 125,R,Shannon  Francis,1441,1
Kansas Senate 001,D,Jerry  Henry,2111,1
Kansas Senate 001,R,Dennis D. Pyle,7408,1
Kansas Senate 002,D,Marci  Francisco,4523,1
Kansas Senate 002,R,Meredith  Richey,3403,1
Kansas Senate 003,D,Tom  Holland,2685,1
Kansas Senate 003,R,Echo  Van Meteren,3724,1
Kansas Senate 004,D,David  Haley,5750,1
Kansas Senate 005,D,Bill  Hutton,2570,0.74
Kansas Senate 005,D,Donald G. Terrien,899,0.259
Kansas Senate 005,R,Steve  Fitzgerald,2494,1
Kansas Senate 006,D,Pat  Pettey,3270,1
Kansas Senate 007,D,Megan  England,4162,1
Kansas Senate 007,R,Barbara  Bollier,6718,1
Kansas Senate 008,D,Don  McGuire,2714,1
Kansas Senate 008,R,Jim  Denning,5610,1
Kansas Senate 009,D,Chris  Morrow,2148,1
Kansas Senate 009,R,Julia  Lynn,5272,1
Kansas Senate 010,D,Vicki  Hiatt,2883,1
Kansas Senate 010,R,Mary  Pilcher Cook,5062,1
Kansas Senate 011,D,Skip  Fannen,2243,1
Kansas Senate 011,R,Jeff  Melcher,4360,0.434
Kansas Senate 011,R,John  Skubal,5665,0.565
Kansas Senate 012,D,Christopher B. Johnston,1384,1
Kansas Senate 012,R,Caryn  Tyson,5748,1
Kansas Senate 013,D,Lynn D. Grant,3204,1
Kansas Senate 013,R,Jake  LaTurner,3592,1
Kansas Senate 014,D,Mark  Pringle,1174,0.545
Kansas Senate 014,D,Carl M Shay Jr,980,0.454
Kansas Senate 014,R,Bruce  Givens,6513,0.524
Kansas Senate 014,R,Forrest J. Knox,5900,0.475
Kansas Senate 015,D,Chuck  Schmidt,1553,1
Kansas Senate 015,R,Dan  Goddard,3549,0.512
Kansas Senate 015,R,Virgil  Peck,3378,0.487
Kansas Senate 016,D,Gabriel  Costilla,1280,1
Kansas Senate 016,R,Ty  Masterson,4697,0.592
Kansas Senate 016,R,Troy E. Tabor II,3226,0.407
Kansas Senate 017,D,Susan G Fowler,1592,1
Kansas Senate 017,R,Jeff  Longbine,5259,1
Kansas Senate 018,D,Laura  Kelly,3351,1
Kansas Senate 018,R,Dave  Jackson,6035,1
Kansas Senate 019,D,Anthony  Hensley,3703,1
Kansas Senate 019,R,Zach  Haney,4910,1
Kansas Senate 020,D,Candace  Ayars,1755,0.468
Kansas Senate 020,D,"Ricardo ""Rick"" Munoz Cortez",760,0.202
Kansas Senate 020,D,Clarence A. Hinchy,230,0.061
Kansas Senate 020,D,Dennis L. Rogers,1005,0.268
Kansas Senate 020,R,Joe  Patton,5110,0.466
Kansas Senate 020,R,Vicki L. Schmidt,5853,0.533
Kansas Senate 021,D,Michael  Czerniewski,663,0.183
Kansas Senate 021,D,Logan  Heley,2956,0.816
Kansas Senate 021,R,Greg A. Smith,3226,0.42
Kansas Senate 021,R,Dinah H. Sykes,4442,0.579
Kansas Senate 022,D,Tom  Hawk,1395,1
Kansas Senate 023,D,Spencer  Kerfoot,1758,1
Kansas Senate 023,R,Rob  Olson,4362,1
Kansas Senate 024,D,Donald R. Merriman,1656,1
Kansas Senate 024,R,Tom  Arpke,3884,0.417
Kansas Senate 024,R,Randall R. Hardy,4307,0.463
Kansas Senate 024,R,John C. Price,1103,0.118
Kansas Senate 025,D,Lynn W. Rogers,1669,1
Kansas Senate 025,R,William  Eveland,890,0.318
Kansas Senate 025,R,Jim  Price,1907,0.681
Kansas Senate 026,D,Benjamin  Poteete,1110,1
Kansas Senate 026,R,Byron C. Dunlavy,1446,0.269
Kansas Senate 026,R,Dan  Kerschen,3913,0.73
Kansas Senate 027,D,Tony  Hunter,1436,1
Kansas Senate 027,R,Lori  Graham,3987,0.493
Kansas Senate 027,R,Gene  Suellentrop,4085,0.506
Kansas Senate 028,D,Keith  Humphrey,1061,1
Kansas Senate 028,R,Jo L. Hillman,681,0.253
Kansas Senate 028,R,Mike  Petersen,2003,0.746
Kansas Senate 029,D,Oletha  Faust Goudeau,2156,1
Kansas Senate 030,D,Anabel  Larumbe,1230,0.65
Kansas Senate 030,D,Nathan  Tokala,661,0.349
Kansas Senate 030,R,Susan  Wagle,4399,1
Kansas Senate 031,D,J. Michelle Vann,1666,1
Kansas Senate 031,R,Renee  Erickson,4518,0.486
Kansas Senate 031,R,Carolyn  McGinn,4776,0.513
Kansas Senate 032,D,Don  Shimkus,1781,1
Kansas Senate 032,R,Larry W. Alley,6795,1
Kansas Senate 033,D,Matt  Bristow,1472,1
Kansas Senate 033,R,Larry D. Salmans,6816,0.481
Kansas Senate 033,R,Mary Jo Taylor,7334,0.518
Kansas Senate 034,D,Homer L. Gilson,1839,1
Kansas Senate 034,R,Edward E. Berger,6279,0.571
Kansas Senate 034,R,Terry  Bruce,4701,0.428
Kansas Senate 035,D,Levi  Morris,1576,1
Kansas Senate 035,R,Richard  Wilborn,10599,1
Kansas Senate 036,D,Brian G. Angevine,1398,1
Kansas Senate 036,R,Elaine S. Bowers,13578,1
Kansas Senate 037,D,Kevin  King,1494,1
Kansas Senate 037,R,Molly  Baumgardner,5342,1
Kansas Senate 038,D,Miguel Angel Rodriguez,706,1
Kansas Senate 038,R,Bud  Estes,4488,0.647
Kansas Senate 038,R,Joyce  Warshaw,2438,0.352
Kansas Senate 039,D,A. Zacheriah Worf,761,1
Kansas Senate 039,R,John  Doll,5664,0.571
Kansas Senate 039,R,Larry R. Powell,4246,0.428
Kansas Senate 040,D,Alex  Herman,1757,1
Kansas Senate 040,R,Richard (Rick)  Billinger,12409,1
United States House of Representatives 001,R,Tim  Huelskamp,45997,0.434
United States House of Representatives 001,R,Roger  Marshall,59889,0.565
United States House of Representatives 002,D,Britani  Potter,24383,1
United States House of Representatives 002,R,Lynn  Jenkins,54958,1
United States House of Representatives 003,D,Reggie  Marselus ,7435,0.222
United States House of Representatives 003,D,Nathaniel W. McLaughlin,12105,0.362
United States House of Representatives 003,D,Jay  Sidie,13879,0.415
United States House of Representatives 003,R,Greg  Goode,21563,0.363
United States House of Representatives 003,R,Kevin  Yoder,37681,0.636
United States House of Representatives 004,D,Daniel B. Giroux,9489,0.515
United States House of Representatives 004,D,Robert Leon Tillman,8936,0.484
United States House of Representatives 004,R,Michael  Pompeo,56808,1
United States Senate,D,Monique  Singh,35042,0.37
United States Senate,D,Patrick  Wiesner,59522,0.629
United States Senate,R,Jerry  Moran,230907,0.79
United States Senate,R,DJ  Smith,61056,0.209
