race,party,candidate,votes,proportion,election,year
Kansas Senate 014,D,Eden Fuson,8349,0.277,General,2012
Kansas Senate 014,D,Eden Fuson,1424,1,Primary,2012
Kansas House of Representatives 009,R,Edwin H. Bideau III,7338,1,General,2012
Kansas House of Representatives 009,R,Edwin H. Bideau III,2048,0.56,Primary,2012
Kansas Senate 036,R,Elaine S. Bowers,26051,0.829,General,2012
Kansas Senate 036,R,Elaine S. Bowers,9377,0.642,Primary,2012
Kansas House of Representatives 015,R,Elliot Lahn,202,0.188,Primary,2012
Kansas House of Representatives 089,R,Emanuel Banks,2705,0.354,General,2012
Kansas House of Representatives 089,R,Emanuel Banks,803,1,Primary,2012
Kansas House of Representatives 024,D,Emily Perry,5716,0.588,General,2012
Kansas House of Representatives 024,D,Emily Perry,505,0.675,Primary,2012
Kansas House of Representatives 010,R,Erica Anderson,3935,0.394,General,2012
Kansas House of Representatives 010,R,Erica Anderson,1003,1,Primary,2012
Kansas House of Representatives 102,D,Erich Hugh Bishop,420,0.495,Primary,2012
Kansas House of Representatives 068,R,Ernie Honas,910,0.342,Primary,2012
United States House of Representatives 004,D,Esau A. Freeman,4618,0.291,Primary,2012
Kansas Senate 014,R,Forrest J. Knox,21790,0.722,General,2012
Kansas Senate 014,R,Forrest J. Knox,7416,0.585,Primary,2012
Kansas House of Representatives 013,R,Fred D. Rinne,2032,0.391,Primary,2012
Kansas House of Representatives 084,D,Gail Finney,4749,0.719,General,2012
Kansas House of Representatives 084,D,Gail Finney,814,0.899,Primary,2012
Kansas Senate 038,R,Garrett Love,13539,0.77,General,2012
Kansas Senate 038,R,Garrett Love,5015,1,Primary,2012
President / Vice President,L,Gary Johnson,20456,0.017,General,2012
Kansas Senate 018,R,Gary L. Parnell,756,0.112,Primary,2012
Kansas Senate 031,R,Gary Mason,3893,0.449,Primary,2012
Kansas House of Representatives 069,D,Gary Swartzendruber,3242,0.46,General,2012
Kansas House of Representatives 069,D,Gary Swartzendruber,400,1,Primary,2012
Kansas Senate 013,D,Gene Garman,10805,0.393,General,2012
Kansas Senate 013,D,Gene Garman,3617,1,Primary,2012
Kansas House of Representatives 091,R,Gene M. Suellentrop,5949,0.688,General,2012
Kansas House of Representatives 091,R,Gene M. Suellentrop,1434,0.621,Primary,2012
Kansas House of Representatives 093,R,George F. (Joe) Edwards II,4220,0.491,General,2012
Kansas House of Representatives 093,R,George F. (Joe) Edwards II,1708,1,Primary,2012
President / Vice President,O,Gerald L. Warner,0,0,General,2012
Kansas House of Representatives 098,D,Geraldine Flaharty,2982,0.489,General,2012
Kansas House of Representatives 098,D,Geraldine Flaharty,316,1,Primary,2012
Kansas House of Representatives 072,D,Glenda Reynolds,3679,0.404,General,2012
Kansas House of Representatives 072,D,Glenda Reynolds,433,1,Primary,2012
Kansas House of Representatives 084,L,Gordon Bakken,329,0.049,General,2012
Kansas House of Representatives 001,D,Grant Randall,4115,0.46,General,2012
Kansas House of Representatives 001,D,Grant Randall,1477,1,Primary,2012
Kansas Senate 021,R,Greg A. Smith,17527,0.531,General,2012
Kansas Senate 021,R,Greg A. Smith,3581,0.521,Primary,2012
Kansas House of Representatives 007,D,H. Dean Knewtson,2595,0.309,General,2012
Kansas House of Representatives 007,D,H. Dean Knewtson,902,1,Primary,2012
Kansas House of Representatives 042,D,Harold D. Fevurly Jr.,3410,0.365,General,2012
Kansas House of Representatives 042,D,Harold D. Fevurly Jr.,503,1,Primary,2012
Kansas House of Representatives 058,D,Harold Lane,4778,0.74,General,2012
Kansas House of Representatives 058,D,Harold Lane,923,1,Primary,2012
Kansas House of Representatives 077,R,J. David Crum,7789,1,General,2012
Kansas House of Representatives 077,R,J. David Crum,1990,1,Primary,2012
Kansas House of Representatives 122,R,"J. Russell ""Russ"" Jennings",5366,1,General,2012
Kansas House of Representatives 122,R,"J. Russell ""Russ"" Jennings",1660,0.52,Primary,2012
Kansas House of Representatives 124,R,J. Stephen Alford,6280,1,General,2012
Kansas House of Representatives 124,R,J. Stephen Alford,3369,1,Primary,2012
Kansas House of Representatives 069,R,J.R. Claeys,3797,0.539,General,2012
Kansas House of Representatives 069,R,J.R. Claeys,1121,0.521,Primary,2012
Kansas House of Representatives 012,R,Jack Kopfman Jr.,1168,0.324,Primary,2012
Kansas House of Representatives 114,R,Jack Thimesch,5923,0.663,General,2012
Kansas House of Representatives 114,R,Jack Thimesch,1188,0.421,Primary,2012
Kansas Senate 013,R,Jake LaTurner,16621,0.606,General,2012
Kansas Senate 013,R,Jake LaTurner,3857,0.572,Primary,2012
Kansas House of Representatives 028,R,James Azeltine,693,0.274,Primary,2012
Kansas Senate 003,R,"James C. ""J.C."" Tellefson",1449,0.316,Primary,2012
Kansas Senate 017,R,James P. Fawcett,2619,0.404,Primary,2012
Kansas House of Representatives 086,L,James Pruden,312,0.054,General,2012
Kansas House of Representatives 029,R,James Eric Todd,6075,0.538,General,2012
Kansas House of Representatives 029,R,James Eric Todd,1348,0.518,Primary,2012
Kansas House of Representatives 101,R,Jamey Blubaugh,1071,0.36,Primary,2012
Kansas House of Representatives 102,D,Jan Pauls,3711,0.662,General,2012
Kansas House of Representatives 102,D,Jan Pauls,428,0.504,Primary,2012
Kansas House of Representatives 041,R,Jana Goodman,2778,0.447,General,2012
Kansas House of Representatives 041,R,Jana Goodman,666,0.547,Primary,2012
Kansas House of Representatives 014,R,Janet King,718,0.381,Primary,2012
Kansas House of Representatives 076,D,Janet L. Lewis,3258,0.361,General,2012
Kansas House of Representatives 076,D,Janet L. Lewis,661,1,Primary,2012
Kansas House of Representatives 056,R,Janet M. Mitchell,4628,0.481,General,2012
Kansas House of Representatives 056,R,Janet M. Mitchell,1946,0.799,Primary,2012
Kansas House of Representatives 040,R,Janette Holdeman,586,0.397,Primary,2012
Kansas Senate 024,D,Janice Norlin,11650,0.435,General,2012
Kansas Senate 024,D,Janice Norlin,1378,1,Primary,2012
Kansas House of Representatives 050,R,"Jason ""Jake"" Fisher",1195,0.421,Primary,2012
Kansas House of Representatives 017,R,Jason Leib,1232,0.422,Primary,2012
Kansas House of Representatives 088,D,Jason Zabel,105,0.203,Primary,2012
Kansas Senate 035,R,Jay Scott Emler,21063,0.767,General,2012
Kansas Senate 035,R,Jay Scott Emler,6435,0.732,Primary,2012
Kansas Senate 025,R,Jean Kurtis Schodorf,1949,0.411,Primary,2012
Kansas House of Representatives 097,R,Jeff Blubaugh,747,0.491,Primary,2012
Kansas House of Representatives 036,L,Jeff Caldwell,354,0.032,General,2012
Kansas Senate 015,R,Jeff King,21401,1,General,2012
Kansas Senate 015,R,Jeff King,5668,0.572,Primary,2012
Kansas Senate 017,R,Jeff Longbine,12831,0.607,General,2012
Kansas Senate 017,R,Jeff Longbine,3858,0.595,Primary,2012
Kansas Senate 011,R,Jeff Melcher,23565,0.627,General,2012
Kansas Senate 011,R,Jeff Melcher,5479,0.593,Primary,2012
Kansas House of Representatives 002,R,"Jeffrey G. ""Jeff"" Locke",4295,0.433,General,2012
Kansas House of Representatives 002,R,"Jeffrey G. ""Jeff"" Locke",1966,1,Primary,2012
Kansas House of Representatives 006,R,Jene Vickrey,9254,1,General,2012
Kansas House of Representatives 006,R,Jene Vickrey,2798,1,Primary,2012
Kansas Senate 002,R,Jeremy Ryan Pierce,1493,0.365,Primary,2012
Kansas House of Representatives 063,D,Jerry Henry,5347,0.59,General,2012
Kansas House of Representatives 063,D,Jerry Henry,766,1,Primary,2012
Kansas House of Representatives 028,R,Jerry Lunn,6328,0.571,General,2012
Kansas House of Representatives 028,R,Jerry Lunn,1198,0.474,Primary,2012
Kansas Senate 035,L,Jesse Bryant,6381,0.232,General,2012
Kansas Senate 035,R,Jesse Bryant,2346,0.267,Primary,2012
Kansas House of Representatives 014,D,Jessica Peters,144,0.426,Primary,2012
President / Vice President,O,Jill A. Reed,4,0,General,2012
President / Vice President,O,Jill Stein,714,0,General,2012
Kansas Senate 008,R,Jim Denning,19484,0.543,General,2012
Kansas Senate 008,R,Jim Denning,4796,0.602,Primary,2012
Kansas House of Representatives 081,R,Jim Howell,4106,0.646,General,2012
Kansas House of Representatives 081,R,Jim Howell,1073,1,Primary,2012
Kansas House of Representatives 011,R,Jim Kelly,4632,0.581,General,2012
Kansas House of Representatives 011,R,Jim Kelly,2601,1,Primary,2012
Kansas House of Representatives 086,D,Jim Ward,3389,0.588,General,2012
Kansas House of Representatives 086,D,Jim Ward,468,0.569,Primary,2012
Kansas House of Representatives 029,R,Jim Yonally,1254,0.481,Primary,2012
Kansas Senate 021,R,Joe Beveridge,3290,0.478,Primary,2012
