race,party,candidate,votes,proportion,election,year
Kansas House of Representatives 017,R,Brett M. Hildabrand,4466,0.497,General,2014
Kansas House of Representatives 017,R,Brett M. Hildabrand,1915,1,Primary,2014
Kansas House of Representatives 001,D,Brian Caswell,2543,0.405,General,2014
Kansas House of Representatives 001,D,Brian Caswell,585,1,Primary,2014
Kansas House of Representatives 102,D,Brian E. Davis,1881,0.464,General,2014
Kansas House of Representatives 102,D,Brian E. Davis,446,0.762,Primary,2014
Kansas House of Representatives 070,R,Brian Huwiler,649,0.221,Primary,2014
Kansas House of Representatives 035,D,Broderick Henderson,3297,1,General,2014
Kansas House of Representatives 035,D,Broderick Henderson,1201,1,Primary,2014
United States House of Representatives 001,D,Bryan R. Whitney,4293,0.343,Primary,2014
Kansas House of Representatives 119,R,Bud Estes,2664,0.706,General,2014
Kansas House of Representatives 119,R,Bud Estes,1157,1,Primary,2014
Kansas House of Representatives 043,D,Caitlin Trujillo,1875,0.334,General,2014
Kansas House of Representatives 043,D,Caitlin Trujillo,294,1,Primary,2014
State Treasurer,D,Carmen Alldritt,274257,0.324,General,2014
State Treasurer,D,Carmen Alldritt,58570,1,Primary,2014
Kansas House of Representatives 083,D,Carolyn Bridges,2829,0.557,General,2014
Kansas House of Representatives 083,D,Carolyn Bridges,402,1,Primary,2014
Kansas House of Representatives 009,R,Chad E. VanHouden,1019,0.4,Primary,2014
United States Senate,D,Chad Taylor,35067,0.532,Primary,2014
Kansas House of Representatives 003,R,Charles (Chuck) Smith,2944,0.509,General,2014
Kansas House of Representatives 003,R,Charles (Chuck) Smith,986,1,Primary,2014
Kansas House of Representatives 087,D,Charles Jenney,3180,0.39,General,2014
Kansas House of Representatives 087,D,Charles Jenney,384,1,Primary,2014
Kansas House of Representatives 039,R,Charles Macheers,4572,0.614,General,2014
Kansas House of Representatives 039,R,Charles Macheers,1364,1,Primary,2014
Kansas Senate 037,R,Charlotte O'Hara,2702,0.4,Primary,2014
Kansas House of Representatives 026,D,Cheron Tiffany,2060,0.294,General,2014
Kansas House of Representatives 026,D,Cheron Tiffany,294,1,Primary,2014
Kansas House of Representatives 102,D,Chris Givan,139,0.237,Primary,2014
Kansas House of Representatives 050,D,Chris Huntsman,3512,0.367,General,2014
Kansas House of Representatives 050,D,Chris Huntsman,925,1,Primary,2014
United States House of Representatives 002,L,Christopher Clemmons,9791,0.043,General,2014
Kansas House of Representatives 096,R,Christopher K. Brown,368,0.387,Primary,2014
Kansas House of Representatives 006,D,Christy C. Levings,2520,0.328,General,2014
Kansas House of Representatives 006,D,Christy C. Levings,476,1,Primary,2014
Kansas House of Representatives 018,D,Cindy Neighbor,3959,0.481,General,2014
Kansas House of Representatives 018,D,Cindy Neighbor,698,1,Primary,2014
Commissioner of Insurance,R,Clark Shultz,54565,0.227,Primary,2014
Kansas House of Representatives 005,D,Cleon Rickel,2246,0.327,General,2014
Kansas House of Representatives 042,R,Connie O'Brien,4042,0.595,General,2014
Kansas House of Representatives 042,R,Connie O'Brien,1322,1,Primary,2014
Kansas House of Representatives 058,R,Cordell Fischer,1302,0.291,General,2014
Kansas House of Representatives 058,R,Cordell Fischer,554,1,Primary,2014
Kansas House of Representatives 008,R,Craig McPherson,5435,0.666,General,2014
Kansas House of Representatives 008,R,Craig McPherson,1272,0.557,Primary,2014
United States Senate,R,D.J. Smith,15288,0.057,Primary,2014
Kansas House of Representatives 100,R,Daniel Hawkins,6008,0.7,General,2014
Kansas House of Representatives 100,R,Daniel Hawkins,2331,1,Primary,2014
Kansas House of Representatives 082,D,Danette Harris,2787,0.379,General,2014
Kansas House of Representatives 082,D,Danette Harris,331,1,Primary,2014
Kansas House of Representatives 049,D,Darnell Hunt,2137,0.366,General,2014
Kansas House of Representatives 049,D,Darnell Hunt,283,1,Primary,2014
Commissioner of Insurance,R,David J. Powell,40388,0.168,Primary,2014
Kansas House of Representatives 046,D,"Dennis ""Boog"" Highberger",6232,0.837,General,2014
Kansas House of Representatives 046,D,"Dennis ""Boog"" Highberger",1004,0.578,Primary,2014
Commissioner of Insurance,D,Dennis Anderson,320862,0.384,General,2014
Commissioner of Insurance,D,Dennis Anderson,58590,1,Primary,2014
Kansas House of Representatives 099,R,Dennis E. Hedke,7042,1,General,2014
Kansas House of Representatives 099,R,Dennis E. Hedke,1686,0.522,Primary,2014
Attorney General,R,Derek Schmidt,564766,0.667,General,2014
Attorney General,R,Derek Schmidt,220581,1,Primary,2014
Kansas House of Representatives 071,R,Diana Dierks,7084,1,General,2014
Kansas House of Representatives 071,R,Diana Dierks,1832,0.539,Primary,2014
Kansas House of Representatives 052,R,Dick Jones,6114,0.596,General,2014
Kansas House of Representatives 052,R,Dick Jones,2799,1,Primary,2014
Kansas House of Representatives 060,R,Don Hill,5413,1,General,2014
Kansas House of Representatives 060,R,Don Hill,1393,1,Primary,2014
Kansas House of Representatives 118,R,Don Hineman,7847,1,General,2014
Kansas House of Representatives 118,R,Don Hineman,3229,1,Primary,2014
Kansas House of Representatives 016,D,Don McGuire,4048,0.463,General,2014
Kansas House of Representatives 016,D,Don McGuire,569,0.781,Primary,2014
Kansas House of Representatives 074,R,Don Schroeder,6892,1,General,2014
Kansas House of Representatives 074,R,Don Schroeder,2699,1,Primary,2014
Kansas Senate 035,R,Donald Hobson,2851,0.289,Primary,2014
Kansas House of Representatives 036,R,Earl Freeman,2524,0.342,General,2014
Kansas House of Representatives 036,R,Earl Freeman,820,1,Primary,2014
Kansas House of Representatives 079,D,Ed Trimmer,3341,0.501,General,2014
Kansas House of Representatives 079,D,Ed Trimmer,513,1,Primary,2014
Kansas House of Representatives 012,D,Eden Fuson,1929,0.296,General,2014
Kansas House of Representatives 012,D,Eden Fuson,317,1,Primary,2014
Kansas House of Representatives 020,D,Elizabeth Arnold,4458,0.423,General,2014
Kansas House of Representatives 020,D,Elizabeth Arnold,681,1,Primary,2014
Kansas House of Representatives 098,D,Eric Bell,124,0.307,Primary,2014
Kansas House of Representatives 091,R,Eric Henderson,816,0.353,Primary,2014
Kansas House of Representatives 015,R,Erin L. Davis,3289,0.613,General,2014
Kansas House of Representatives 015,R,Erin L. Davis,1118,1,Primary,2014
Kansas House of Representatives 056,R,Evan Lancaster,360,0.169,Primary,2014
Kansas House of Representatives 038,L,Frederick Caleb Cristopher,775,0.096,General,2014
Kansas House of Representatives 089,R,Frank Chappell,2504,0.418,General,2014
Kansas House of Representatives 089,R,Frank Chappell,931,1,Primary,2014
Kansas House of Representatives 050,R,Fred C. Patton,6048,0.632,General,2014
Kansas House of Representatives 050,R,Fred C. Patton,1698,0.509,Primary,2014
Kansas House of Representatives 084,D,Gail Finney,3488,0.705,General,2014
Kansas House of Representatives 084,D,Gail Finney,573,1,Primary,2014
Kansas House of Representatives 121,D,Gary Smith,2789,0.359,General,2014
Kansas House of Representatives 121,D,Gary Smith,358,1,Primary,2014
Kansas House of Representatives 069,D,Gary Swartzendruber,2154,0.388,General,2014
Kansas House of Representatives 069,D,Gary Swartzendruber,465,1,Primary,2014
Kansas House of Representatives 091,R,Gene Suellentrop,5923,1,General,2014
Kansas House of Representatives 091,R,Gene Suellentrop,1493,0.646,Primary,2014
Kansas House of Representatives 093,R,George F. (Joe) Edwards II,935,0.454,Primary,2014
Kansas House of Representatives 064,R,Glen R. Hawkins,346,0.144,Primary,2014
Kansas House of Representatives 084,L,Gordon Bakken,318,0.064,General,2014
United States Senate,O,Greg Orman,368372,0.425,General,2014
Kansas House of Representatives 042,D,Harold D. Fevurly Jr.,244,0.44,Primary,2014
Kansas House of Representatives 058,D,Harold Lane,3164,0.708,General,2014
Kansas House of Representatives 058,D,Harold Lane,677,1,Primary,2014
Kansas House of Representatives 029,D,Heather Meyer,3803,0.456,General,2014
Kansas House of Representatives 029,D,Heather Meyer,599,1,Primary,2014
Kansas House of Representatives 046,R,J. Douglas Robinson,1208,0.162,General,2014
Kansas House of Representatives 046,R,J. Douglas Robinson,406,1,Primary,2014
Kansas House of Representatives 122,R,"J. Russell ""Russ"" Jennings",4427,1,General,2014
Kansas House of Representatives 122,R,"J. Russell ""Russ"" Jennings",1499,0.647,Primary,2014
Kansas House of Representatives 124,R,J. Stephen Alford,5041,1,General,2014
Kansas House of Representatives 124,R,J. Stephen Alford,2331,1,Primary,2014
Kansas House of Representatives 049,R,J.H. Wilson,361,0.276,Primary,2014
Kansas House of Representatives 069,R,J.R. Claeys,3395,0.611,General,2014
Kansas House of Representatives 069,R,J.R. Claeys,1583,1,Primary,2014
Kansas House of Representatives 114,R,Jack Thimesch,5242,0.705,General,2014
Kansas House of Representatives 114,R,Jack Thimesch,2501,1,Primary,2014
Kansas House of Representatives 016,R,Jameia Haines,977,0.347,Primary,2014
Kansas House of Representatives 111,D,James A. Leiker,3330,0.426,General,2014
Kansas House of Representatives 111,D,James A. Leiker,604,1,Primary,2014
United States House of Representatives 001,D,James E. Sherow,65397,0.32,General,2014
United States House of Representatives 001,D,James E. Sherow,8209,0.656,Primary,2014
Kansas Senate 035,R,James E. Toews,884,0.089,Primary,2014
Kansas House of Representatives 029,R,James Eric Todd,4526,0.543,General,2014
Kansas House of Representatives 029,R,James Eric Todd,1852,1,Primary,2014
Kansas House of Representatives 086,L,James Pruden,1088,0.282,General,2014
Kansas House of Representatives 055,R,James R. Lord,2305,0.333,General,2014
Kansas House of Representatives 055,R,James R. Lord,1150,1,Primary,2014
Kansas House of Representatives 083,R,James Thomas,2247,0.442,General,2014
Kansas House of Representatives 083,R,James Thomas,1088,1,Primary,2014
Kansas House of Representatives 102,R,Jan Pauls,2169,0.535,General,2014
Kansas House of Representatives 102,R,Jan Pauls,777,1,Primary,2014
Kansas House of Representatives 038,D,Jan Pringle,2366,0.295,General,2014
Kansas House of Representatives 038,D,Jan Pringle,451,1,Primary,2014
Kansas House of Representatives 024,D,Jarrod Ousley,3963,0.607,General,2014
Kansas House of Representatives 024,D,Jarrod Ousley,673,1,Primary,2014
Kansas House of Representatives 092,R,Jason Paul Dean,600,0.362,Primary,2014
Secretary of State,D,Jean Kurtis Schodorf,350692,0.407,General,2014
Secretary of State,D,Jean Kurtis Schodorf,59822,1,Primary,2014
Kansas House of Representatives 036,L,Jeff Caldwell,283,0.038,General,2014
Kansas House of Representatives 076,R,Jeffrey B. Freeman,751,0.311,Primary,2014
Kansas House of Representatives 006,R,Jene Vickrey,5151,0.671,General,2014
Kansas House of Representatives 006,R,Jene Vickrey,2385,1,Primary,2014
Kansas House of Representatives 019,R,Jennifer Flood,1121,0.323,Primary,2014
Kansas House of Representatives 025,D,Jennifer Robinson,4252,0.434,General,2014
Kansas House of Representatives 025,D,Jennifer Robinson,1138,1,Primary,2014
Governor / Lt. Governor,R,Jennifer Winn,96907,0.367,Primary,2014
Kansas House of Representatives 113,R,"Jeremy ""Basil"" Dannebohm",6019,1,General,2014
Kansas House of Representatives 113,R,"Jeremy ""Basil"" Dannebohm",2635,1,Primary,2014
Kansas House of Representatives 092,R,Jeremy Alessi,3023,0.462,General,2014
Kansas House of Representatives 092,R,Jeremy Alessi,1055,0.637,Primary,2014
Kansas House of Representatives 045,R,Jeremy Ryan Pierce,449,0.238,Primary,2014
Kansas House of Representatives 063,D,Jerry Henry,4856,1,General,2014
Kansas House of Representatives 063,D,Jerry Henry,554,1,Primary,2014
Kansas House of Representatives 028,R,Jerry Lunn,6343,1,General,2014
Kansas House of Representatives 028,R,Jerry Lunn,1623,1,Primary,2014
Kansas House of Representatives 011,R,Jim Kelly,4855,1,General,2014
Kansas House of Representatives 011,R,Jim Kelly,1994,1,Primary,2014
Kansas House of Representatives 078,D,Jim Poe,2375,0.324,General,2014
Kansas House of Representatives 078,D,Jim Poe,337,1,Primary,2014
Kansas House of Representatives 088,R,Jim Price,380,0.321,Primary,2014
Kansas House of Representatives 125,R,Jim Rice,631,0.365,Primary,2014
Kansas House of Representatives 086,D,Jim Ward,2760,0.717,General,2014
Kansas House of Representatives 086,D,Jim Ward,359,1,Primary,2014
Kansas House of Representatives 008,D,Jodie Dietz,2723,0.333,General,2014
Kansas House of Representatives 008,D,Jodie Dietz,274,1,Primary,2014
Kansas House of Representatives 101,R,Joe Seiwert,6936,1,General,2014
Kansas House of Representatives 101,R,Joe Seiwert,2442,1,Primary,2014
Kansas House of Representatives 057,D,John Alcala,4014,1,General,2014
Kansas House of Representatives 057,D,John Alcala,722,1,Primary,2014
Kansas House of Representatives 040,R,John Bradford,3044,0.54,General,2014
Kansas House of Representatives 040,R,John Bradford,1128,1,Primary,2014
Kansas House of Representatives 092,D,John Carmichael,3514,0.537,General,2014
Kansas House of Representatives 092,D,John Carmichael,532,1,Primary,2014
Kansas House of Representatives 123,R,John Doll,3790,1,General,2014
Kansas House of Representatives 123,R,John Doll,1382,1,Primary,2014
Kansas House of Representatives 070,R,John E. Barker,6595,1,General,2014
Kansas House of Representatives 070,R,John E. Barker,2286,0.778,Primary,2014
Kansas House of Representatives 119,D,John E. Thomas,1105,0.293,General,2014
Kansas House of Representatives 119,D,John E. Thomas,216,1,Primary,2014
Kansas House of Representatives 112,R,John Edmonds,4559,0.754,General,2014
Kansas House of Representatives 112,R,John Edmonds,2299,1,Primary,2014
Kansas House of Representatives 117,R,John L. Ewy,7345,1,General,2014
Kansas House of Representatives 117,R,John L. Ewy,2849,0.875,Primary,2014
Commissioner of Insurance,R,John M. Toplikar,24773,0.103,Primary,2014
Kansas House of Representatives 018,R,John Rubin,4256,0.518,General,2014
Kansas House of Representatives 018,R,John Rubin,1810,1,Primary,2014
Kansas House of Representatives 100,D,John Wallace Willoughby,2565,0.299,General,2014
Kansas House of Representatives 100,D,John Wallace Willoughby,328,1,Primary,2014
Kansas House of Representatives 093,R,John Whitmer,4758,0.687,General,2014
Kansas House of Representatives 093,R,John Whitmer,1124,0.545,Primary,2014
Kansas House of Representatives 010,D,John Wilson,4828,0.632,General,2014
Kansas House of Representatives 010,D,John Wilson,717,1,Primary,2014
Kansas House of Representatives 088,R,Joseph Scapa,2615,0.502,General,2014
Kansas House of Representatives 088,R,Joseph Scapa,803,0.678,Primary,2014
Kansas House of Representatives 050,R,Josh Powell,1636,0.49,Primary,2014
United States House of Representatives 002,R,Joshua Joel Tucker,18680,0.308,Primary,2014
Kansas House of Representatives 003,D,Julie Menghini,2830,0.49,General,2014
Kansas House of Representatives 003,D,Julie Menghini,600,1,Primary,2014
Kansas House of Representatives 080,R,Kasha Kelley,4480,1,General,2014
Kansas House of Representatives 080,R,Kasha Kelley,1206,0.575,Primary,2014
Kansas House of Representatives 064,R,Kathy Martin,955,0.398,Primary,2014
Kansas House of Representatives 036,D,Kathy Wolfe Moore,4554,0.618,General,2014
Kansas House of Representatives 036,D,Kathy Wolfe Moore,2009,1,Primary,2014
Governor / Lt. Governor,L,Keen A. Umbehr,35206,0.04,General,2014
Kansas House of Representatives 014,R,Keith Esau,4764,0.605,General,2014
Kansas House of Representatives 014,R,Keith Esau,1717,1,Primary,2014
United States House of Representatives 003,D,Kelly Kultala,89584,0.399,General,2014
United States House of Representatives 003,D,Kelly Kultala,14189,0.685,Primary,2014
Kansas House of Representatives 054,R,Ken Corbet,4869,0.54,General,2014
Kansas House of Representatives 054,R,Ken Corbet,2072,1,Primary,2014
Commissioner of Insurance,R,Ken Selzer,512679,0.615,General,2014
Commissioner of Insurance,R,Ken Selzer,64911,0.27,Primary,2014
Kansas House of Representatives 077,R,Kenneth R. Bratton,1169,0.391,Primary,2014
Kansas House of Representatives 009,R,Kent L. Thompson,5869,1,General,2014
Kansas House of Representatives 009,R,Kent L. Thompson,1524,0.599,Primary,2014
Kansas House of Representatives 075,D,Keri Ratliff,1980,0.309,General,2014
Kansas House of Representatives 075,D,Keri Ratliff,490,1,Primary,2014
Kansas House of Representatives 005,R,Kevin Jones,4614,0.672,General,2014
Kansas House of Representatives 005,R,Kevin Jones,1796,1,Primary,2014
United States House of Representatives 003,R,Kevin Yoder,134493,0.6,General,2014
United States House of Representatives 003,R,Kevin Yoder,47319,1,Primary,2014
Secretary of State,R,Kris Kobach,508926,0.592,General,2014
Secretary of State,R,Kris Kobach,166793,0.647,Primary,2014
Kansas House of Representatives 077,R,Kristey S. Williams,6187,1,General,2014
Kansas House of Representatives 077,R,Kristey S. Williams,1820,0.608,Primary,2014
Kansas House of Representatives 116,R,Kyle D. Hoffman,6393,1,General,2014
Kansas House of Representatives 116,R,Kyle D. Hoffman,2585,1,Primary,2014
Kansas House of Representatives 056,R,Lane Hemsley,3978,0.502,General,2014
Kansas House of Representatives 056,R,Lane Hemsley,1308,0.614,Primary,2014
Kansas House of Representatives 026,R,Larry L. Campbell,4946,0.705,General,2014
Kansas House of Representatives 026,R,Larry L. Campbell,1468,1,Primary,2014
Kansas House of Representatives 017,D,Larry Meeker,3952,0.439,General,2014
Kansas House of Representatives 017,D,Larry Meeker,541,1,Primary,2014
Kansas House of Representatives 013,R,Larry P. Hibbard,6303,1,General,2014
Kansas House of Representatives 013,R,Larry P. Hibbard,2671,1,Primary,2014
Kansas House of Representatives 079,R,Larry W. Alley,3324,0.498,General,2014
Kansas House of Representatives 079,R,Larry W. Alley,1988,1,Primary,2014
Kansas House of Representatives 073,R,Les Mason,5372,0.688,General,2014
Kansas House of Representatives 073,R,Les Mason,3271,1,Primary,2014
Kansas House of Representatives 097,R,Leslie G. Osterman,4203,1,General,2014
Kansas House of Representatives 097,R,Leslie G. Osterman,816,0.57,Primary,2014
Kansas House of Representatives 023,R,Linda Gallagher,3285,0.559,General,2014
Kansas House of Representatives 023,R,Linda Gallagher,1235,1,Primary,2014
Kansas House of Representatives 040,D,Linda Johnson,2590,0.459,General,2014
Kansas House of Representatives 040,D,Linda Johnson,376,1,Primary,2014
Kansas House of Representatives 030,D,Liz Dickinson,3059,0.434,General,2014
Kansas House of Representatives 030,D,Liz Dickinson,421,1,Primary,2014
Kansas House of Representatives 065,R,Lonnie G. Clark,1667,0.605,General,2014
Kansas House of Representatives 065,R,Lonnie G. Clark,464,0.594,Primary,2014
Kansas House of Representatives 031,D,Louis E. Ruiz,2463,1,General,2014
Kansas House of Representatives 031,D,Louis E. Ruiz,619,1,Primary,2014
Kansas House of Representatives 004,D,Lucas B. Cosens,2387,0.317,General,2014
Kansas House of Representatives 004,D,Lucas B. Cosens,586,1,Primary,2014
United States House of Representatives 002,R,Lynn Jenkins,128742,0.57,General,2014
United States House of Representatives 002,R,Lynn Jenkins,41850,0.691,Primary,2014
Kansas House of Representatives 081,D,Lynn Wells,1892,0.383,General,2014
Kansas House of Representatives 081,D,Lynn Wells,196,1,Primary,2014
Kansas House of Representatives 117,R,M.T. Liggett,405,0.124,Primary,2014
Kansas House of Representatives 072,R,Marc Rhoades,5510,1,General,2014
Kansas House of Representatives 072,R,Marc Rhoades,2080,0.577,Primary,2014
United States House of Representatives 002,D,Margie Wakefield,87153,0.386,General,2014
United States House of Representatives 002,D,Margie Wakefield,18337,1,Primary,2014
Kansas House of Representatives 094,R,Mario Goico,6634,1,General,2014
Kansas House of Representatives 094,R,Mario Goico,2297,1,Primary,2014
Kansas House of Representatives 105,R,Mark Edward Hutton,3705,0.611,General,2014
Kansas House of Representatives 105,R,Mark Edward Hutton,1320,1,Primary,2014
Kansas House of Representatives 087,R,Mark Kahrs,4954,0.609,General,2014
Kansas House of Representatives 087,R,Mark Kahrs,2308,1,Primary,2014
Kansas House of Representatives 115,D,Mark Low,1443,0.263,General,2014
Kansas House of Representatives 115,D,Mark Low,257,1,Primary,2014
Kansas House of Representatives 114,D,Mark Schnittker,2189,0.294,General,2014
Kansas House of Representatives 114,D,Mark Schnittker,455,1,Primary,2014
Kansas Senate 035,R,Marshall Christmann,1646,0.167,Primary,2014
Kansas House of Representatives 004,R,Marty Read,5126,0.682,General,2014
Kansas House of Representatives 004,R,Marty Read,1897,1,Primary,2014
Kansas House of Representatives 048,R,Marvin Kleeb,4736,0.629,General,2014
Kansas House of Representatives 048,R,Marvin Kleeb,1523,1,Primary,2014
Kansas House of Representatives 025,R,Melissa Rooker,5542,0.565,General,2014
Kansas House of Representatives 025,R,Melissa Rooker,2141,1,Primary,2014
Kansas House of Representatives 014,D,Merlin Ring,2632,0.334,General,2014
Kansas House of Representatives 014,D,Merlin Ring,411,1,Primary,2014
Kansas House of Representatives 097,R,Michael E. Walker,614,0.429,Primary,2014
Kansas House of Representatives 001,R,Michael Houser,3729,0.594,General,2014
Kansas House of Representatives 001,R,Michael Houser,1184,1,Primary,2014
Kansas House of Representatives 017,L,Michael Kerner,566,0.063,General,2014
Kansas House of Representatives 022,R,Mike Jones,2834,0.476,General,2014
Kansas House of Representatives 022,R,Mike Jones,1305,1,Primary,2014
United States House of Representatives 004,R,Michael Pompeo,138757,0.666,General,2014
United States House of Representatives 004,R,Michael Pompeo,43564,0.626,Primary,2014
United States Senate,R,Milton Wolf,107799,0.407,Primary,2014
Kansas House of Representatives 005,D,Miranda Rickel,489,1,Primary,2014
Kansas Senate 037,R,Molly Baumgardner,19461,1,General,2014
Kansas Senate 037,R,Molly Baumgardner,4042,0.599,Primary,2014
Kansas House of Representatives 041,D,Nancy D. Bauder,1732,0.44,General,2014
Kansas House of Representatives 041,D,Nancy D. Bauder,323,1,Primary,2014
Kansas House of Representatives 022,D,Nancy Lusk,3109,0.523,General,2014
Kansas House of Representatives 022,D,Nancy Lusk,638,1,Primary,2014
Kansas House of Representatives 021,R,Neil Patrick Melton,1232,0.403,Primary,2014
Kansas Senate 035,R,Nick Reinecker,517,0.052,Primary,2014
Kansas House of Representatives 010,R,Nicolas D. VanWyhe,2811,0.367,General,2014
Kansas House of Representatives 010,R,Nicolas D. VanWyhe,936,1,Primary,2014
Kansas House of Representatives 032,D,Pam Curtis,1203,1,General,2014
Kansas House of Representatives 032,D,Pam Curtis,430,1,Primary,2014
United States Senate,R,Pat Roberts,460350,0.531,General,2014
United States Senate,R,Pat Roberts,127089,0.48,Primary,2014
Kansas House of Representatives 088,D,Patricia M. Sloop,2587,0.497,General,2014
Kansas House of Representatives 088,D,Patricia M. Sloop,337,1,Primary,2014
Kansas House of Representatives 019,D,Patricia Stratton,3565,0.349,General,2014
Kansas House of Representatives 019,D,Patricia Stratton,775,1,Primary,2014
Kansas House of Representatives 085,D,Patrick Thorpe,2905,0.34,General,2014
Kansas House of Representatives 085,D,Patrick Thorpe,347,1,Primary,2014
United States Senate,D,Patrick Wiesner,30752,0.467,Primary,2014
Governor / Lt. Governor,D,Paul Davis,401100,0.461,General,2014
Governor / Lt. Governor,D,Paul Davis,66357,1,Primary,2014
Kansas House of Representatives 076,R,Peggy L. Mast,3516,0.478,General,2014
Kansas House of Representatives 076,R,Peggy L. Mast,1663,0.688,Primary,2014
United States House of Representatives 004,D,Perry L. Schuckman,69396,0.333,General,2014
United States House of Representatives 004,D,Perry L. Schuckman,11408,1,Primary,2014
Kansas House of Representatives 082,R,Pete DeGraaf,4564,0.62,General,2014
Kansas House of Representatives 082,R,Pete DeGraaf,1980,1,Primary,2014
Kansas House of Representatives 103,D,Ponka-We Victors,1648,1,General,2014
Kansas House of Representatives 103,D,Ponka-We Victors,207,1,Primary,2014
Kansas House of Representatives 047,R,Ramon C. Gonzalez Jr.,5053,0.647,General,2014
Kansas House of Representatives 047,R,Ramon C. Gonzalez Jr.,1826,1,Primary,2014
United States Senate,L,Randall Batson,37469,0.043,General,2014
Kansas House of Representatives 062,R,Randy Garber,4644,0.556,General,2014
Kansas House of Representatives 062,R,Randy Garber,2519,1,Primary,2014
Kansas House of Representatives 099,R,Randy J. Banwart,1538,0.477,Primary,2014
Kansas House of Representatives 030,R,Randy Powell,3978,0.565,General,2014
Kansas House of Representatives 030,R,Randy Powell,1150,0.557,Primary,2014
Kansas House of Representatives 084,R,"Ray ""Grizzly"" Racobs",1139,0.23,General,2014
Kansas House of Representatives 084,R,"Ray ""Grizzly"" Racobs",527,1,Primary,2014
Kansas House of Representatives 016,R,Ray J. Marshall,279,0.099,Primary,2014
Kansas House of Representatives 027,R,Ray Merrick,6121,0.695,General,2014
Kansas House of Representatives 027,R,Ray Merrick,2048,1,Primary,2014
United States House of Representatives 003,D,Reggie Marselus,6524,0.314,Primary,2014
Kansas House of Representatives 120,R,Richard (Rick) Billinger,7638,1,General,2014
Kansas House of Representatives 120,R,Richard (Rick) Billinger,2197,0.602,Primary,2014
Kansas House of Representatives 007,R,Richard J. Proehl,5223,1,General,2014
Kansas House of Representatives 007,R,Richard J. Proehl,1272,1,Primary,2014
Kansas Senate 035,R,Richard Wilborn,20149,1,General,2014
Kansas Senate 035,R,Richard Wilborn,3949,0.401,Primary,2014
Kansas House of Representatives 096,R,Rick Lindsey,1983,0.438,General,2014
Kansas House of Representatives 096,R,Rick Lindsey,581,0.612,Primary,2014
Kansas House of Representatives 020,R,Rob Bruchman,6075,0.576,General,2014
Kansas House of Representatives 020,R,Rob Bruchman,2553,1,Primary,2014
Kansas House of Representatives 089,D,Roderick A. Houston,3480,0.581,General,2014
Kansas House of Representatives 089,D,Roderick A. Houston,645,1,Primary,2014
State Treasurer,R,Ron Estes,570110,0.675,General,2014
State Treasurer,R,Ron Estes,220859,1,Primary,2014
Kansas House of Representatives 051,R,Ron Highland,7222,1,General,2014
Kansas House of Representatives 051,R,Ron Highland,2330,1,Primary,2014
Kansas House of Representatives 078,R,Ron Ryckman,4936,0.675,General,2014
Kansas House of Representatives 078,R,Ron Ryckman,1645,1,Primary,2014
Kansas House of Representatives 030,R,Ron Worley,912,0.442,Primary,2014
Kansas House of Representatives 115,R,Ronald W. Ryckman Sr.,4041,0.736,General,2014
Kansas House of Representatives 115,R,Ronald W. Ryckman Sr.,1924,1,Primary,2014
Kansas House of Representatives 121,R,S. Mike Kiegerl,4978,0.64,General,2014
Kansas House of Representatives 121,R,S. Mike Kiegerl,1611,1,Primary,2014
Governor / Lt. Governor,R,Sam Brownback,433196,0.498,General,2014
Governor / Lt. Governor,R,Sam Brownback,166687,0.632,Primary,2014
Kansas House of Representatives 093,D,Sammy K. Flaharty,2158,0.312,General,2014
Kansas House of Representatives 093,D,Sammy K. Flaharty,319,1,Primary,2014
Kansas House of Representatives 048,D,Sandy Ackerson,2792,0.37,General,2014
Kansas House of Representatives 048,D,Sandy Ackerson,330,1,Primary,2014
Kansas House of Representatives 059,D,Scott James Barnhart,1737,0.257,General,2014
Kansas House of Representatives 059,D,Scott James Barnhart,363,1,Primary,2014
Secretary of State,R,Scott Morgan,90680,0.352,Primary,2014
Kansas House of Representatives 049,R,Scott Schwab,3688,0.633,General,2014
Kansas House of Representatives 049,R,Scott Schwab,945,0.723,Primary,2014
Kansas House of Representatives 125,R,Shannon Francis,2863,1,General,2014
Kansas House of Representatives 125,R,Shannon Francis,1094,0.634,Primary,2014
Kansas House of Representatives 106,R,Sharon J. Schwartz,7230,1,General,2014
Kansas House of Representatives 106,R,Sharon J. Schwartz,2868,1,Primary,2014
Kansas House of Representatives 056,R,Shawn M. Powell,462,0.216,Primary,2014
Kansas House of Representatives 105,D,Sherry Livingston,2355,0.388,General,2014
Kansas House of Representatives 105,D,Sherry Livingston,339,1,Primary,2014
Kansas House of Representatives 008,R,Stacey L. Schlimmer,1010,0.442,Primary,2014
Kansas House of Representatives 122,R,Stan Rice,816,0.352,Primary,2014
Kansas House of Representatives 037,D,Stan Frownfelter,2358,1,General,2014
Kansas House of Representatives 037,D,Stan Frownfelter,660,1,Primary,2014
Kansas House of Representatives 019,R,Stephanie Clayton,6637,0.65,General,2014
Kansas House of Representatives 019,R,Stephanie Clayton,2344,0.676,Primary,2014
Kansas House of Representatives 090,R,Steve Huebert,6242,1,General,2014
Kansas House of Representatives 090,R,Steve Huebert,2170,1,Primary,2014
Kansas House of Representatives 062,D,Steve Lukert,3705,0.443,General,2014
Kansas House of Representatives 062,D,Steve Lukert,444,1,Primary,2014
